be crucial to sth|[phr]對某個東西很重要的
would like + sth|[phr]想要...
would like to do sth|[phr]想要做某事
claim|[n]索賠
make/file a claim|[phr.v]申請索賠、申請款項
I am sorry to hear that ...|[s]聽到某個消息感到難過、遺憾、抱歉
be meant to do sth|[phr]應該、預期要做某事情
not ... until ...|[s]直到...才...
go up to sb/sth|[phr.v]到達，延伸到，靠近，接近
walk sb through sth|[phr.v]為某人示範、解釋某事物
teller|[n](銀行)出納員
digital wallet|[n]數位錢包
mobile payment|[n]行動支付
tap|[v](常指連續)輕拍，輕叩，輕敲
contactless|[adj]不接觸的
pop out of sth|[phr.v]從...彈出
be forgetting sth|[phr]忘記...
that couldn't be truer|[s]那無法再更正確了(那真是一點都沒錯)
what if + 主詞 + 動詞？|[s]如果...怎麼辦？
go back to + sth / doing sth|[phr.v]回去做...
industrial|[adj]工業的
have trouble doing sth|[phr]有困難做...
take today off|[phr.v]今天請假
sound + adj|[phr.v]聽起來很...
take medication|[phr.v]吃藥
painkiller|[n]止痛藥
with any luck|[phr]希望，但願
break for|[phr.v]為...休息
tea/coffee break|[n]喝茶休息
diet|[n]飲食法
give sth a try|[phr.v]給...一個嘗試
granted|[conj]的確
paleo|[adj]古人類的
lean meats|[n]瘦肉
picture sb doing sth|[phr.v]想像誰在做什麼
draw a blank|[phr.v](做某事情)失敗；沒結果
consultation|[n]諮詢，諮商
in consultation with sb|[phr]諮詢某人
allergy|[n]過敏
allergic|[adj]過敏的
Not that I know of|[s]據我所知沒有
herbal|[adj]草本的
sneeze|[n]噴嚏(聲)
play (it) safe|[phr.v]謹慎行事(保險一點)
bring me to sth|[phr.v]讓我談到、讓我帶到某個話題
cut out sth|[phr.v]停止食用或飲用某物
switch to sth|[phr.v]改成某事物、改用某物
sinus|[n]鼻竇
clog|[v]阻塞
schedule you in|[phr]幫你安排
go from there|[phr]從那繼續，從那開始
recruitment|[n]招募，招娉
(sth) take place|[phr.v]舉行，舉辦
make it to sth/place|[phr.v]成功抵達某地、及時趕上某事
look forward to sth|[phr.v]期待某事物
not right now|[s]先不要，不是現在
in a bit|[phr]在一點點時間內
you live and learn|[s](表示對得知的東西感到驚訝)真想不到，並學到了新東西
in any case|[phr]無論如何
there it is|[phr]在這
head out|[phr.v]離開(去某處)
lifesaver|[n]救命者
till|[prep]直到
or so|[phr]大約
as soon as |[phr]一到就...
check into + somewhere|[phr.v]登記入住
check out of + somewhere|[phr.v]辦理退房
help sb with sth|[phr.v]幫助某人做某事
escalator|[n]手扶梯
in place|[phr]處於通常(或正確)的位置
(only) to be expected|[phr]在預料之中；並不意外
distance|[v]疏遠...
sanitizer|[n]消毒殺菌劑
hand sanitizer|[n]乾手洗
not...at all|[phr]一點也不
come as a surprise|[phr.v]令人感到驚訝
give a presentation|[phr.v]報告
be stuck in sth|[phr]被卡在、被困在
break down|[phr.v]東西停止運轉、失靈、故障 ;（車）拋錨
It was my first time doing sth|[s]這是我第一次做某事
Would that be okay?|[s]那樣可以嗎？
Is that all right?|[s]那樣可以嗎？
manage to do sth|[phr]成功做到、順利完成某事
house-viewing|[n]看房
semidetached|[adj]半獨立式的
brick|[n]磚塊
facade|[n](大型建築物)正面
quaint|[adj]古典的
in a sth way|[phr]以某種形式
that/it is a given|[s]那是當然的、那是一定的
make it|[phr.v]成功出席(某個場合)
on sb's own|[phr]某人獨自、靠自己(做某事)
mold|[n]黴菌
condensation|[n]凝結的水珠
cough sb's lungs out|[phr.v]咳得非常嚴重
not off the top of my head|[s]一時想不起來
off the top of my head|[s]在我印象中、我第一直覺是
place/put down a deposit on sth|[phr.v]支付某物的訂金
go up|[phr.v](某資訊)公布
clash with sth|[phr.v]和某事情撞期、撞時間
lecture|[n](大學的)課、講座
same here|[phr]我也是
shortbread|[n]奶油酥餅
lavender|[n]薰衣草
sign for sth|[phr.v]簽收某事物
scrumptious|[adj]美味的
eternally|[adj]永恆的
grateful|[adj]感激地
take credit for sth|[phr.v]居功、將某事的功勞歸為某人、搶功勞
refer to sth|[phr.v]指、提到
come up with sth|[phr.v]想出、想到
stop doing sth|[phr.v]停止做某事
speak with sb|[phr.v]和...說話
What seems to be the problem?|[s]請問問題是什麼呢？
have no use for sth|[phr]用不到、用不著某物
a maximum of sth|[phr]最多...
give sb/sth sb/sb|[phr.v]把...給...
